LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
species	Carnobacterium sp. ZWU0011	1339243	38	1349	0	65	20.7538	0.0000
species	Actinomyces georgiae	52768	38	2069	34	1959	1.0562	0.0000
species	Streptococcus sp. 1171_SSPC	1579348	38	1971	35	1282	1.5374	0.0000
species	Lacticigenium naphtae	515351	37	1934	89	65	29.7538	0.0000
species	Streptococcus constellatus	76860	37	2450	9	1933	1.2675	0.0000
species	Tetragenococcus muriaticus	64642	37	1119	0	90	12.4333	0.0000
species	Prevotella scopos	589437	36	1786	32	764	2.3377	0.0000
species	Actinomyces sp. ICM39	1105029	36	2032	67	1430	1.4210	0.0000
species	Lachnoanaerobaculum sp. OBRC5-5	936595	35	1432	2	520	2.7538	0.0000
species	Streptococcus plurextorum	456876	35	1587	73	260	6.1038	0.0000
species	Treponema medium	58231	35	2001	40	1750	1.1434	0.0000
species	Streptococcus phocae	119224	34	1179	4	200	5.8950	0.0000
species	Facklamia languida	82347	34	2483	135	178	13.9494	0.0000
species	Vitreoscilla stercoraria	61	33	1281	23	262	4.8893	0.0000
species	Aerococcus urinae	1376	33	1083	0	64	16.9219	0.0000
species	Clostridium botulinum	1491	33	1478	30	169	8.7456	0.0000
species	Lactococcus raffinolactis	1366	33	1515	55	148	10.2365	0.0000
species	Paenisporosarcina sp. TG-14	1231057	33	992	0	60	16.5333	0.0000
species	Prevotella sp. ICM33	1161412	33	2104	22	1692	1.2435	0.0000
species	Eremococcus coleocola	88132	32	1021	0	61	16.7377	0.0000
species	Prevotella amnii	419005	32	1385	5	783	1.7688	0.0000
species	Dialister invisus	218538	32	2423	26	1849	1.3104	0.0000
species	[Eubacterium] rectale	39491	31	2209	16	1658	1.3323	0.0000
species	Odoribacter splanchnicus	28118	31	2561	9	1831	1.3987	0.0000
species	Oribacterium sinus	237576	31	2273	35	1816	1.2517	0.0000
species	Streptococcus henryi	439219	30	1256	25	176	7.1364	0.0000
species	Bibersteinia trehalosi	47735	29	1374	43	353	3.8924	0.0000
species	Veillonella atypica	39777	29	1861	38	1347	1.3816	0.0000
species	Capnocytophaga sp. oral taxon 412	712218	29	1433	14	863	1.6605	0.0000
species	Lachnospiraceae bacterium FE2018	1410624	29	872	0	60	14.5333	0.0000
species	Treponema denticola	158	29	1692	29	1135	1.4907	0.0000
species	Johnsonella ignava	43995	28	1680	8	1124	1.4947	0.0000
species	Streptococcus sinensis	176090	28	1278	25	875	1.4606	0.0000
species	Actinomyces israelii	1659	28	1840	11	1694	1.0862	0.0000
species	Prevotella sp. MSX73	1032506	28	1827	34	468	3.9038	0.0000
species	Streptococcus sp. 400_SSPC	1579341	28	1555	18	1226	1.2684	0.0000
species	Photobacterium damselae	38293	27	810	0	87	9.3103	0.0000
