LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
species	Mycobacterium iranicum	912594	3	120	1	83	1.4458	0.0000
species	Prevotella sp. S7 MS 2	1287488	3	138	0	102	1.3529	0.0000
species	Campylobacter sp. 10_1_50	665939	3	200	2	164	1.2195	0.0000
species	Streptococcus vestibularis	1343	3	244	0	167	1.4611	0.0000
species	Sphingopyxis sp. LC81	1502850	3	94	0	61	1.5410	0.0000
species	bacterium SIT7	1522317	3	96	0	64	1.5000	0.0000
species	Prevotella loescheii	840	3	246	0	243	1.0123	0.0000
species	Streptococcus tigurinus	1077464	3	140	1	108	1.2963	0.0000
species	Alysiella crassa	153491	3	99	0	64	1.5469	0.0000
species	Mycobacterium mucogenicum	56689	3	184	2	181	1.0166	0.0000
species	Corynebacterium jeikeium	38289	3	152	3	118	1.2881	0.0000
species	Prevotella buccae	28126	3	153	2	150	1.0200	0.0000
species	Propionibacterium sp. KPL1844	1203573	3	154	4	119	1.2941	0.0000
species	Fusobacterium sp. oral taxon 370	712288	3	104	0	101	1.0297	0.0000
species	Neisseria shayeganii	607712	3	100	1	68	1.4706	0.0000
species	Actinomyces georgiae	52768	3	124	0	121	1.0248	0.0000
