LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
species	Bifidobacterium moukalabense	1333651	5	295	12	144	2.0486	0.0000
species	Bacteroides dorei	357276	5	387	2	350	1.1057	0.0000
species	Lactobacillus iners	147802	5	316	24	101	3.1287	0.0000
species	Odoribacter splanchnicus	28118	5	384	0	306	1.2549	0.0000
species	Stenoxybacter acetivorans	422441	5	232	7	227	1.0220	0.0000
species	Eubacterium saphenum	51123	5	215	7	148	1.4527	0.0000
species	Desulfatirhabdium butyrativorans	340467	5	318	13	159	2.0000	0.0000
species	Ruminococcus bicirculans	1160721	5	380	5	318	1.1950	0.0000
species	Aquimarina pacifica	1296415	5	154	0	89	1.7303	0.0000
species	Olsenella uli	133926	5	255	3	250	1.0200	0.0000
species	Atopobium sp. oral taxon 199	712156	5	361	9	285	1.2667	0.0000
species	Propionibacteriaceae bacterium P6A17	1410634	5	207	5	166	1.2470	0.0000
species	Bacteroides sp. D2	556259	5	427	5	348	1.2270	0.0000
species	Thauera sp. MZ1T	85643	5	266	7	186	1.4301	0.0000
species	Streptococcus massiliensis	313439	5	164	0	94	1.7447	0.0000
species	Acinetobacter johnsonii	40214	5	409	3	404	1.0124	0.0000
species	Solitalea canadensis	995	5	158	0	61	2.5902	0.0000
species	Paracoccus versutus	34007	5	245	2	210	1.1667	0.0000
species	Prevotella sp. S7-1-8	1284775	5	227	1	156	1.4551	0.0000
species	Comamonas aquatica	225991	5	233	0	189	1.2328	0.0000
species	Peptoniphilus sp. oral taxon 386	652713	5	260	9	255	1.0196	0.0000
species	Kallipyga massiliensis	1472764	5	354	7	141	2.5106	0.0000
species	Veillonella montpellierensis	187328	5	370	6	236	1.5678	0.0000
species	Necropsobacter massiliensis	1400001	5	265	4	122	2.1721	0.0000
species	Nitrospira defluvii	330214	5	441	16	131	3.3664	0.0000
species	Azovibrio restrictus	146938	4	130	1	68	1.9118	0.0000
species	Pseudoramibacter alactolyticus	113287	4	256	10	149	1.7181	0.0000
species	Flavobacterium sasangense	503361	4	176	4	138	1.2754	0.0000
species	Tissierellia bacterium S5-A11	1230730	4	159	0	111	1.4324	0.0000
species	Lactococcus lactis	1358	4	163	0	130	1.2538	0.0000
species	Prevotella sp. 109	1676614	4	148	0	72	2.0556	0.0000
species	Campylobacter fetus	196	4	208	4	126	1.6508	0.0000
species	Chelatococcus sambhunathii	363953	4	232	0	214	1.0841	0.0000
species	Bacteroides eggerthii	28111	4	281	2	277	1.0144	0.0000
species	Prevotella bryantii	77095	4	316	14	226	1.3982	0.0000
species	Bacteroides vulgatus	821	4	357	10	353	1.0113	0.0000
species	Ruminococcus albus	1264	4	126	0	91	1.3846	0.0000
species	Oribacterium parvum	1501329	4	330	16	175	1.8857	0.0000
species	Veillonella atypica	39777	4	162	2	121	1.3388	0.0000
species	Neisseria subflava	28449	4	156	2	86	1.8140	0.0000
species	Sutterella wadsworthensis	40545	4	128	0	62	2.0645	0.0000
species	[Eubacterium] siraeum	39492	4	397	5	393	1.0102	0.0000
species	Streptococcus sp. CM7	936581	4	246	2	190	1.2947	0.0000
species	Corynebacterium ulcerans	65058	4	225	10	67	3.3582	0.0000
species	Lachnoclostridium phytofermentans	66219	4	123	0	90	1.3667	0.0000
species	Streptococcus equi	1336	4	214	0	90	2.3778	0.0000
species	Oscillibacter sp. ER4	1519439	4	342	12	272	1.2574	0.0000
species	Dialister succinatiphilus	487173	4	269	14	70	3.8429	0.0000
species	Selenomonas sp. ND2010	1410618	4	147	2	103	1.4272	0.0000
species	Sphingopyxis macrogoltabida	33050	4	132	0	62	2.1290	0.0000
species	Ruminococcus flavefaciens	1265	4	123	0	90	1.3667	0.0000
species	Corynebacterium vitaeruminis	38305	4	162	3	72	2.2500	0.0000
species	Gillisia limnaea	195907	4	126	0	61	2.0656	0.0000
species	[Eubacterium] sulci	143393	4	248	10	244	1.0164	0.0000
species	Campylobacter mucosalis	202	4	182	6	178	1.0225	0.0000
species	Streptococcus pseudoporcinus	361101	4	160	0	111	1.4414	0.0000
species	beta proteobacterium L13	1229489	4	127	0	61	2.0820	0.0000
species	Lachnospiraceae bacterium 10-1	1235800	4	227	3	219	1.0365	0.0000
species	Ruminococcus faecis	592978	4	313	4	275	1.1382	0.0000
species	Bacillus cihuensis	1208599	4	156	3	72	2.1667	0.0000
species	Saccharibacter floricola	231053	4	124	0	89	1.3933	0.0000
species	Bradyrhizobium sp. CCH5-F6	1768753	4	334	0	285	1.1719	0.0000
species	Actinomyces sp. SD1	1673722	3	94	0	91	1.0330	0.0000
species	Scardovia wiggsiae	230143	3	226	8	153	1.4771	0.0000
species	Eubacterium limosum	1736	3	96	0	62	1.5484	0.0000
species	Spirochaeta sp. JC202	1329640	3	96	0	63	1.5238	0.0000
species	Aminiphilus circumscriptus	290732	3	96	0	62	1.5484	0.0000
species	Bacteroides pyogenes	310300	3	105	0	67	1.5672	0.0000
species	Actinomyces sp. ICM39	1105029	3	136	3	102	1.3333	0.0000
species	Syntrophorhabdus aromaticivorans	328301	3	122	0	74	1.6486	0.0000
species	Chryseobacterium sp. FF12	1608584	3	121	0	118	1.0254	0.0000
species	Candidatus Saccharibacteria bacterium RAAC3_TM7_1	1394711	3	117	0	76	1.5395	0.0000
species	Prevotella brevis	83231	3	99	1	96	1.0312	0.0000
species	Ornithobacterium rhinotracheale	28251	3	105	0	102	1.0294	0.0000
species	Thiohalocapsa sp. ML1	1431688	3	140	4	84	1.6667	0.0000
species	Rhodoferax ferrireducens	192843	3	102	0	66	1.5455	0.0000
species	Shuttleworthia sp. MSX8B	936574	3	208	9	165	1.2606	0.0000
species	Neisseria wadsworthii	607711	3	150	6	118	1.2712	0.0000
species	Snodgrassella alvi	1196083	3	94	0	60	1.5667	0.0000
species	Streptococcus sp. I-G2	1156431	3	208	5	164	1.2683	0.0000
species	Chrysiogenes arsenatis	309797	3	196	5	105	1.8667	0.0000
species	Oscillibacter sp. 1-3	1235797	3	96	0	63	1.5238	0.0000
species	Veillonella tobetsuensis	1110546	3	288	6	250	1.1520	0.0000
species	Candidatus Alistipes marseilloanorexicus	1470347	3	125	2	122	1.0246	0.0000
species	Atopobium sp. oral taxon 810	712158	3	126	0	123	1.0244	0.0000
species	Streptococcus sp. ACS2	936576	3	128	1	125	1.0240	0.0000
species	Riemerella columbina	103810	3	112	1	109	1.0275	0.0000
species	Acidovorax caeni	343013	3	140	6	105	1.3333	0.0000
species	Phascolarctobacterium succinatutens	626940	3	104	2	72	1.4444	0.0000
species	Geopsychrobacter electrodiphilus	225196	3	96	0	61	1.5738	0.0000
species	Gardnerella vaginalis	2702	3	147	2	144	1.0208	0.0000
species	Peptoniphilus indolicus	33030	3	110	2	107	1.0280	0.0000
species	Curvibacter sp. PAE-UM	1714344	3	140	5	107	1.3084	0.0000
species	Jonquetella anthropi	428712	3	241	5	176	1.3693	0.0000
species	Lachnospiraceae bacterium oral taxon 082	712976	3	160	1	157	1.0191	0.0000
species	Tessaracoccus sp. SIT7	1522311	3	120	4	117	1.0256	0.0000
species	Sphingobacterium paucimobilis	1385985	3	102	1	69	1.4783	0.0000
species	Nitrincola lacisaponensis	267850	3	121	2	75	1.6133	0.0000
