LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
superkingdom	Bacteria	2	18781741	1456641099	11095458	35832350	40.6516	1.0000
phylum	Actinobacteria	201174	17823675	1390078316	10337394	22818545	60.9188	0.9490
phylum	Firmicutes	1239	519874	36196503	349508	5953178	6.0802	0.0277
phylum	Bacteroidetes	976	270577	19557347	321889	6384098	3.0634	0.0144
phylum	Fusobacteria	32066	150995	9638264	80331	515358	18.7021	0.0080
phylum	Chlamydiae	204428	9284	707007	4920	64155	11.0203	0.0005
phylum	Proteobacteria	1224	5633	355762	470	8484	41.9333	0.0003
phylum	Tenericutes	544448	1601	102711	874	86831	1.1829	0.0001
phylum	Chloroflexi	200795	42	2407	35	283	8.5053	0.0000
phylum	Spirochaetes	203691	27	1545	27	904	1.7091	0.0000
phylum	Deferribacteres	200930	15	501	5	116	4.3190	0.0000
phylum	Cyanobacteria	1117	10	355	5	69	5.1449	0.0000
phylum	Deinococcus-Thermus	1297	5	291	0	242	1.2025	0.0000
class	Actinobacteria	1760	16714828	1303642740	9218036	18933023	68.8555	0.8900
class	Coriobacteriia	84998	1108847	86435576	1119358	3885522	22.2456	0.0590
class	Bacilli	91061	387675	27031002	280777	2333027	11.5862	0.0206
class	Bacteroidia	200643	270540	19556159	321886	6383726	3.0634	0.0144
class	Fusobacteriia	203490	150995	9638264	80331	515358	18.7021	0.0080
class	Tissierellia	1737404	81831	5596411	38983	1816196	3.0814	0.0044
class	Negativicutes	909932	34782	2438085	22231	948974	2.5692	0.0019
class	Clostridia	186801	15300	1111965	7240	847828	1.3115	0.0008
class	Chlamydiia	204429	9284	707007	4920	64155	11.0203	0.0005
class	Betaproteobacteria	28216	5469	346191	361	764	453.1296	0.0003
class	Mollicutes	31969	1601	102711	874	86831	1.1829	0.0001
class	Erysipelotrichia	526524	286	19040	277	7153	2.6618	0.0000
class	Epsilonproteobacteria	29547	98	6459	79	5866	1.1011	0.0000
class	Dehalococcoidia	301297	42	2407	35	283	8.5053	0.0000
class	Alphaproteobacteria	28211	30	1408	16	436	3.2294	0.0000
class	Gammaproteobacteria	1236	29	1486	14	1358	1.0943	0.0000
class	Spirochaetia	203692	27	1545	27	904	1.7091	0.0000
class	Cytophagia	768503	21	643	0	89	7.2247	0.0000
class	Deferribacteres	68337	15	501	5	116	4.3190	0.0000
class	Flavobacteriia	117743	12	425	3	254	1.6732	0.0000
class	Deltaproteobacteria	28221	7	218	0	60	3.6333	0.0000
class	Deinococci	188787	5	291	0	242	1.2025	0.0000
order	Bifidobacteriales	85004	16676110	1300838719	9204897	16903292	76.9577	0.8880
order	Coriobacteriales	84999	1108795	86433514	1119329	3884829	22.2490	0.0590
order	Lactobacillales	186826	387538	27026410	280775	2332113	11.5888	0.0206
order	Bacteroidales	171549	270540	19556159	321886	6383726	3.0634	0.0144
order	Fusobacteriales	203491	150995	9638264	80331	515358	18.7021	0.0080
order	Tissierellales	1737405	78660	5371119	36285	1637296	3.2805	0.0042
order	Actinomycetales	2037	38626	2798045	13065	2025270	1.3816	0.0021
order	Veillonellales	1843489	34772	2437731	22231	948939	2.5689	0.0019
