LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
superkingdom	Bacteria	2	8351301	591344174	6547706	67727746	8.7312	1.0000
phylum	Actinobacteria	201174	5585239	410210766	4069742	26565755	15.4413	0.6688
phylum	Proteobacteria	1224	901780	57800290	816440	10154622	5.6920	0.1080
phylum	Bacteroidetes	976	795146	56550689	847575	14092394	4.0129	0.0952
phylum	Firmicutes	1239	708675	44699911	507073	11004976	4.0618	0.0849
phylum	Fusobacteria	32066	254260	14319635	151867	3330107	4.3001	0.0304
phylum	Spirochaetes	203691	55390	3889036	75691	2121290	1.8333	0.0066
phylum	Candidatus Saccharibacteria	95818	50610	3865856	79244	454752	8.5010	0.0061
phylum	Cyanobacteria	1117	48	1683	8	679	2.4786	0.0000
phylum	Chlorobi	1090	21	633	0	90	7.0333	0.0000
phylum	Nitrospirae	40117	19	1482	18	878	1.6879	0.0000
phylum	Verrucomicrobia	74201	18	560	0	93	6.0215	0.0000
phylum	Synergistetes	508458	16	803	23	497	1.6157	0.0000
phylum	Chloroflexi	200795	15	519	9	141	3.6809	0.0000
phylum	Tenericutes	544448	10	361	2	213	1.6948	0.0000
phylum	Deinococcus-Thermus	1297	7	337	0	238	1.4160	0.0000
phylum	Acidobacteria	57723	6	187	0	181	1.0331	0.0000
phylum	Planctomycetes	203682	3	100	0	63	1.5873	0.0000
class	Actinobacteria	1760	5585091	410201037	4069541	26561299	15.4436	0.6735
class	Flavobacteriia	117743	509704	35901203	545550	5082753	7.0633	0.0615
class	Bacilli	91061	462579	28447453	333030	4673577	6.0869	0.0558
class	Gammaproteobacteria	1236	372993	23137028	247884	3122649	7.4094	0.0450
class	Betaproteobacteria	28216	359648	23234209	295714	3401728	6.8301	0.0434
class	Bacteroidia	200643	277003	20005579	292698	8585403	2.3302	0.0334
class	Fusobacteriia	203490	254260	14319635	151867	3330107	4.3001	0.0307
class	Epsilonproteobacteria	29547	168350	11381247	272472	3617030	3.1466	0.0203
class	Negativicutes	909932	157862	10194247	107091	3388372	3.0086	0.0190
class	Clostridia	186801	84703	5855845	62885	2869088	2.0410	0.0102
class	Spirochaetia	203692	55390	3889036	75691	2121290	1.8333	0.0067
class	Tissierellia	1737404	3325	188818	3819	64685	2.9190	0.0004
class	Alphaproteobacteria	28211	742	46261	360	12497	3.7018	0.0001
class	Erysipelotrichia	526524	205	13515	248	9222	1.4655	0.0000
class	Coriobacteriia	84998	138	9397	199	4387	2.1420	0.0000
class	Cytophagia	768503	121	3981	10	1122	3.5481	0.0000
class	Sphingobacteriia	117747	91	2924	5	710	4.1183	0.0000
class	Deltaproteobacteria	28221	46	1513	10	687	2.2023	0.0000
class	Chlorobia	191410	21	633	0	90	7.0333	0.0000
class	Nitrospira	203693	19	1482	18	878	1.6879	0.0000
class	Verrucomicrobiae	203494	18	560	0	93	6.0215	0.0000
class	Synergistia	649775	16	803	23	497	1.6157	0.0000
class	Acidimicrobiia	84992	10	332	2	69	4.8116	0.0000
class	Mollicutes	31969	10	361	2	213	1.6948	0.0000
class	Deinococci	188787	7	337	0	238	1.4160	0.0000
class	Acidobacteriia	204432	5	157	0	152	1.0329	0.0000
class	Planctomycetia	203683	3	100	0	63	1.5873	0.0000
order	Corynebacteriales	85007	3270593	249698547	2645880	7138343	34.9799	0.3944
order	Actinomycetales	2037	1094800	68698643	575217	9009177	7.6254	0.1320
order	Micrococcales	85006	906672	71010436	598483	8202996	8.6566	0.1093
order	Flavobacteriales	200644	509702	35901143	545550	5082724	7.0634	0.0615
order	Pasteurellales	135625	359751	22325903	237969	2861455	7.8023	0.0434
order	Lactobacillales	186826	326379	20283348	269978	3420344	5.9302	0.0394
order	Propionibacteriales	85009	312758	20783448	249831	2207931	9.4131	0.0377
order	Bacteroidales	171549	277003	20005579	292698	8585403	2.3302	0.0334
order	Fusobacteriales	203491	254260	14319635	151867	3330107	4.3001	0.0307
order	Burkholderiales	80840	228729	14924611	200454	1693493	8.8129	0.0276
order	Campylobacterales	213849	168346	11381073	272466	3616913	3.1466	0.0203
order	Bacillales	1385	136200	8164105	63052	1253233	6.5144	0.0164
order	Neisseriales	206351	130884	8307930	95239	1707539	4.8654	0.0158
order	Selenomonadales	909929	105773	7181424	67700	2901303	2.4752	0.0128
order	Clostridiales	186802	84697	5855658	62885	2868998	2.0410	0.0102
order	Spirochaetales	136	55383	3888815	75691	2121200	1.8333	0.0067
order	Veillonellales	1843489	52085	3012699	39391	487039	6.1857	0.0063
order	Cardiobacteriales	135615	12473	776835	9421	252045	3.0821	0.0015
order	Tissierellales	1737405	3314	188416	3815	64479	2.9221	0.0004
order	Sphingomonadales	204457	638	42665	348	11338	3.7630	0.0001
order	Erysipelotrichales	526525	205	13515	248	9222	1.4655	0.0000
order	Alteromonadales	135622	154	7928	98	927	8.5523	0.0000
order	Pseudomonadales	72274	145	7406	139	3470	2.1343	0.0000
order	Enterobacteriales	91347	132	5772	77	1377	4.1917	0.0000
order	Coriobacteriales	84999	125	8925	197	4176	2.1372	0.0000
order	Pseudonocardiales	85010	122	3762	4	306	12.2941	0.0000
order	Cytophagales	768507	121	3981	10	1122	3.5481	0.0000
order	Sphingobacteriales	200666	91	2924	5	710	4.1183	0.0000
order	Vibrionales	135623	69	2529	39	550	4.5982	0.0000
order	Bifidobacteriales	85004	65	3572	113	1675	2.1325	0.0000
order	Xanthomonadales	135614	61	3185	75	1104	2.8850	0.0000
order	Oceanospirillales	135619	55	2106	32	387	5.4419	0.0000
order	Rhodobacterales	204455	42	1374	2	417	3.2950	0.0000
order	Rhizobiales	356	40	1544	10	592	2.6081	0.0000
order	Thiotrichales	72273	36	1158	0	309	3.7476	0.0000
order	Chromatiales	135613	25	887	6	198	4.4798	0.0000
order	Nostocales	1161	24	803	0	95	8.4526	0.0000
order	Streptomycetales	85011	24	768	0	364	2.1099	0.0000
order	Cellvibrionales	1706369	23	725	0	246	2.9472	0.0000
order	Legionellales	118969	22	731	0	93	7.8602	0.0000
order	Chlorobiales	191411	21	633	0	90	7.0333	0.0000
order	Myxococcales	29	21	636	0	146	4.3562	0.0000
order	Nitrospirales	189778	19	1482	18	878	1.6879	0.0000
order	Rhodocyclales	206389	18	971	11	391	2.4834	0.0000
order	Verrucomicrobiales	48461	18	560	0	93	6.0215	0.0000
order	Orbales	1240482	17	641	6	108	5.9352	0.0000
order	Aeromonadales	135624	16	738	18	200	3.6900	0.0000
order	Synergistales	649776	16	803	23	497	1.6157	0.0000
order	Desulfovibrionales	213115	14	515	9	283	1.8198	0.0000
order	Frankiales	85013	14	497	9	167	2.9760	0.0000
order	Eggerthellales	1643822	13	472	2	211	2.2370	0.0000
order	Chroococcales	1118	11	379	4	210	1.8048	0.0000
order	Oscillatoriales	1150	10	407	4	312	1.3045	0.0000
order	Acidimicrobiales	84993	10	332	2	69	4.8116	0.0000
order	Actinopolysporales	622450	9	280	0	61	4.5902	0.0000
order	Ferrovales	1442155	9	410	10	137	2.9927	0.0000
order	Glycomycetales	85014	9	322	4	71	4.5352	0.0000
order	Desulfuromonadales	69541	8	264	1	163	1.6196	0.0000
order	Mycoplasmatales	2085	8	297	2	151	1.9669	0.0000
order	Thermales	68933	7	337	0	238	1.4160	0.0000
order	Thermoanaerobacterales	68295	6	187	0	90	2.0778	0.0000
order	Acidobacteriales	204433	5	157	0	152	1.0329	0.0000
order	Methylococcales	135618	5	189	4	117	1.6154	0.0000
order	Planctomycetales	112	3	100	0	63	1.5873	0.0000
family	Corynebacteriaceae	1653	3270486	249694616	2645865	7136985	34.9860	0.4008
family	Actinomycetaceae	2049	1094800	68698643	575217	9009177	7.6254	0.1342
family	Micrococcaceae	1268	905610	70946260	597377	8169003	8.6848	0.1110
family	Flavobacteriaceae	49546	509698	35901011	545550	5082692	7.0634	0.0625
family	Pasteurellaceae	712	359751	22325903	237969	2861455	7.8023	0.0441
family	Propionibacteriaceae	31957	312745	20783025	249829	2207724	9.4138	0.0383
family	Streptococcaceae	1300	243452	13961005	139251	1975507	7.0670	0.0298
family	Burkholderiaceae	119060	225359	14710673	197864	1532773	9.5974	0.0276
family	Campylobacteraceae	72294	168289	11379180	272459	3616371	3.1466	0.0206
family	Prevotellaceae	171552	162820	11819703	147204	6304286	1.8749	0.0200
family	Leptotrichiaceae	1129771	154994	9027457	88658	2389395	3.7781	0.0190
family	Neisseriaceae	481	130873	8307550	95239	1707363	4.8657	0.0160
family	Porphyromonadaceae	171551	113819	8164620	145063	2267603	3.6006	0.0140
family	Selenomonadaceae	1843491	105770	7181328	67700	2901210	2.4753	0.0130
family	Fusobacteriaceae	203492	99266	5292178	63209	940712	5.6257	0.0122
family	Aerococcaceae	186827	75087	5881438	124841	1333426	4.4108	0.0092
family	Lachnospiraceae	186803	65779	4596738	50959	2262620	2.0316	0.0081
family	Spirochaetaceae	137	55381	3888753	75691	2121170	1.8333	0.0068
family	Veillonellaceae	31977	52085	3012699	39391	487039	6.1857	0.0064
family	Cardiobacteriaceae	868	12473	776835	9421	252045	3.0821	0.0015
family	Eubacteriaceae	186806	11924	879685	5813	499105	1.7625	0.0015
family	Carnobacteriaceae	186828	7611	432475	5858	108114	4.0002	0.0009
family	Peptostreptococcaceae	186804	6589	361634	5905	98915	3.6560	0.0008
family	Peptoniphilaceae	1570339	3314	188416	3815	64479	2.9221	0.0004
family	Comamonadaceae	80864	3189	203610	2412	157814	1.2902	0.0004
family	Staphylococcaceae	90964	2861	155035	2242	36359	4.2640	0.0004
family	Erythrobacteraceae	335929	632	42440	347	11119	3.8169	0.0001
family	Dermacoccaceae	145357	544	34997	369	19866	1.7617	0.0001
family	Bacteroidaceae	815	320	19635	413	12650	1.5522	0.0000
family	Erysipelotrichaceae	128827	205	13515	248	9222	1.4655	0.0000
family	Lactobacillaceae	33958	178	6717	23	2480	2.7085	0.0000
family	Cellulomonadaceae	85016	164	9207	110	6450	1.4274	0.0000
family	Clostridiaceae	31979	161	5562	59	1945	2.8596	0.0000
family	Intrasporangiaceae	85021	132	9197	390	1819	5.0561	0.0000
family	Enterobacteriaceae	543	132	5772	77	1377	4.1917	0.0000
family	Bacillaceae	186817	126	4217	2	1302	3.2389	0.0000
family	Atopobiaceae	1643824	125	8925	197	4176	2.1372	0.0000
family	Pseudonocardiaceae	2070	122	3762	4	306	12.2941	0.0000
family	Ruminococcaceae	541000	118	5572	50	2100	2.6533	0.0000
family	Oxalobacteraceae	75682	98	6797	138	1940	3.5036	0.0000
family	Promicromonosporaceae	85017	88	5236	111	3290	1.5915	0.0000
family	Moraxellaceae	468	80	3707	29	1756	2.1110	0.0000
family	Sphingobacteriaceae	84566	79	2549	4	521	4.8925	0.0000
family	Cytophagaceae	89373	76	2420	3	627	3.8596	0.0000
family	Ferrimonadaceae	267892	76	5170	93	305	16.9508	0.0000
family	Vibrionaceae	641	69	2529	39	550	4.5982	0.0000
family	Bifidobacteriaceae	31953	65	3572	113	1675	2.1325	0.0000
family	Pseudomonadaceae	135621	65	3699	110	1714	2.1581	0.0000
family	Clostridiales Family XIII. Incertae Sedis	543314	60	3742	61	3002	1.2465	0.0000
family	Xanthomonadaceae	32033	58	3079	74	1001	3.0759	0.0000
family	Alcaligenaceae	506	57	2398	30	574	4.1777	0.0000
family	Helicobacteraceae	72293	57	1893	7	542	3.4926	0.0000
family	Microbacteriaceae	85023	50	1631	3	500	3.2620	0.0000
family	Oceanospirillaceae	135620	44	1767	32	269	6.5688	0.0000
family	Shewanellaceae	267890	41	1583	1	242	6.5413	0.0000
family	Rhodobacteraceae	31989	38	1234	2	383	3.2219	0.0000
family	Enterococcaceae	81852	38	1287	5	656	1.9619	0.0000
family	Sanguibacteraceae	145360	36	1930	68	1520	1.2697	0.0000
family	Cyclobacteriaceae	563798	35	1253	6	371	3.3774	0.0000
family	Paenibacillaceae	186822	32	996	1	366	2.7213	0.0000
family	Gordoniaceae	85026	31	1303	2	608	2.1431	0.0000
family	Alteromonadaceae	72275	31	967	1	254	3.8071	0.0000
family	Mycobacteriaceae	1762	28	1034	4	612	1.6895	0.0000
family	Streptomycetaceae	2062	24	768	0	364	2.1099	0.0000
family	Rikenellaceae	171550	24	799	6	298	2.6812	0.0000
family	Jonesiaceae	85022	23	732	0	60	12.2000	0.0000
family	Legionellaceae	444	22	731	0	93	7.8602	0.0000
family	Chlorobiaceae	191412	21	633	0	90	7.0333	0.0000
family	Nitrospiraceae	189779	19	1482	18	878	1.6879	0.0000
family	Thiotrichaceae	135617	19	625	0	94	6.6489	0.0000
family	Rhodocyclaceae	75787	18	971	11	391	2.4834	0.0000
family	Akkermansiaceae	1647988	17	530	0	64	8.2812	0.0000
family	Orbaceae	1240483	17	641	6	108	5.9352	0.0000
family	Ectothiorhodospiraceae	72276	16	610	6	110	5.5455	0.0000
family	Synergistaceae	649777	16	803	23	497	1.6157	0.0000
family	Peptococcaceae	186807	15	496	0	127	3.9055	0.0000
family	Nostocaceae	1162	15	517	0	64	8.0781	0.0000
family	Nocardiaceae	85025	14	451	1	100	4.5100	0.0000
family	Aeromonadaceae	84642	14	674	18	138	4.8841	0.0000
