LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
superkingdom	Bacteria	2	10765883	769429046	8544150	45167775	17.0349	1.0000
phylum	Actinobacteria	201174	9137896	663461932	7199396	27349551	24.2586	0.8488
phylum	Proteobacteria	1224	704425	45840127	492151	5926189	7.7352	0.0654
phylum	Bacteroidetes	976	650595	43936635	677048	7215645	6.0891	0.0604
phylum	Firmicutes	1239	171430	10237010	108073	3730878	2.7439	0.0159
phylum	Fusobacteria	32066	98573	5759833	62609	822577	7.0022	0.0092
phylum	Candidatus Saccharibacteria	95818	2147	143293	4015	81962	1.7483	0.0002
phylum	Spirochaetes	203691	666	44464	800	38891	1.1433	0.0001
phylum	Cyanobacteria	1117	39	1211	0	305	3.9705	0.0000
phylum	Deinococcus-Thermus	1297	11	608	2	526	1.1559	0.0000
phylum	Chloroflexi	200795	11	351	0	92	3.8152	0.0000
phylum	Tenericutes	544448	6	201	0	63	3.1905	0.0000
phylum	Acidobacteria	57723	4	128	0	62	2.0645	0.0000
class	Actinobacteria	1760	9137443	663432542	7198856	27322690	24.2814	0.8490
class	Flavobacteriia	117743	593315	40005407	636037	4497091	8.8958	0.0551
class	Betaproteobacteria	28216	589195	38548076	368222	3272747	11.7785	0.0547
class	Bacilli	91061	130517	7611017	78869	2256362	3.3731	0.0121
class	Fusobacteriia	203490	98573	5759833	62609	822577	7.0022	0.0092
class	Gammaproteobacteria	1236	69312	4102473	42333	775510	5.2900	0.0064
class	Bacteroidia	200643	56167	3864506	39607	2708773	1.4267	0.0052
class	Epsilonproteobacteria	29547	45803	3184684	81584	1875699	1.6979	0.0043
class	Negativicutes	909932	32454	2033520	23558	960849	2.1164	0.0030
class	Clostridia	186801	7251	517862	5157	448774	1.1539	0.0007
class	Tissierellia	1737404	763	42421	265	36310	1.1683	0.0001
class	Spirochaetia	203692	666	44464	800	38891	1.1433	0.0001
class	Coriobacteriia	84998	451	29321	539	26794	1.0943	0.0000
class	Erysipelotrichia	526524	444	32157	224	28551	1.1263	0.0000
class	Alphaproteobacteria	28211	102	4500	12	2026	2.2211	0.0000
class	Sphingobacteriia	117747	101	3219	0	896	3.5926	0.0000
class	Cytophagia	768503	98	3201	10	569	5.6257	0.0000
class	Deltaproteobacteria	28221	13	394	0	207	1.9034	0.0000
class	Deinococci	188787	11	608	2	526	1.1559	0.0000
class	Mollicutes	31969	6	201	0	63	3.1905	0.0000
class	Acidobacteriia	204432	4	128	0	62	2.0645	0.0000
order	Micrococcales	85006	5667008	426241305	4706616	9302590	45.8196	0.5265
order	Corynebacteriales	85007	2319745	168065716	1831027	7406182	22.6926	0.2155
order	Actinomycetales	2037	1093894	65681275	601763	9310941	7.0542	0.1016
