LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
superkingdom	Bacteria	2	10824604	829639590	10989131	42894255	19.3415	1.0000
phylum	Actinobacteria	201174	9393184	730478148	9420132	25916706	28.1856	0.8678
phylum	Proteobacteria	1224	917952	62276668	1008152	7376239	8.4429	0.0848
phylum	Bacteroidetes	976	356432	26579376	438925	5016250	5.2987	0.0329
phylum	Firmicutes	1239	153536	10093881	118338	4442800	2.2720	0.0142
phylum	Fusobacteria	32066	2050	117720	1467	81452	1.4453	0.0002
phylum	Spirochaetes	203691	617	43488	833	32048	1.3570	0.0001
phylum	Candidatus Saccharibacteria	95818	578	41335	1183	26655	1.5507	0.0001
phylum	Acidobacteria	57723	65	2248	36	282	7.9716	0.0000
phylum	Cyanobacteria	1117	55	1681	2	304	5.5296	0.0000
phylum	Chloroflexi	200795	35	1161	0	159	7.3019	0.0000
phylum	Planctomycetes	203682	18	546	0	120	4.5500	0.0000
phylum	Deinococcus-Thermus	1297	11	383	5	200	1.9150	0.0000
phylum	Verrucomicrobia	74201	6	378	7	312	1.2115	0.0000
phylum	Nitrospirae	40117	5	311	6	306	1.0163	0.0000
class	Actinobacteria	1760	9393142	730475967	9420112	25914968	28.1874	0.8679
class	Betaproteobacteria	28216	829706	56376717	908020	4613805	12.2191	0.0767
class	Flavobacteriia	117743	329092	24451532	403680	3783469	6.4627	0.0304
class	Bacilli	91061	142944	9432473	110166	4061535	2.3224	0.0132
class	Gammaproteobacteria	1236	70110	4685891	68041	2015693	2.3247	0.0065
class	Bacteroidia	200643	26779	2091638	34436	1224648	1.7080	0.0025
class	Epsilonproteobacteria	29547	16545	1129516	30949	735036	1.5367	0.0015
class	Negativicutes	909932	8523	520377	6450	286836	1.8142	0.0008
class	Fusobacteriia	203490	2050	117720	1467	81452	1.4453	0.0002
class	Clostridia	186801	1773	123867	1565	81983	1.5109	0.0002
class	Alphaproteobacteria	28211	1419	77942	968	11068	7.0421	0.0001
class	Spirochaetia	203692	617	43488	833	32048	1.3570	0.0001
class	Tissierellia	1737404	261	14681	133	10672	1.3757	0.0000
class	Deltaproteobacteria	28221	104	3310	0	543	6.0958	0.0000
class	Acidithiobacillia	1807140	68	3292	174	94	35.0213	0.0000
class	Sphingobacteriia	117747	63	1962	0	458	4.2838	0.0000
class	Cytophagia	768503	50	1631	5	500	3.2620	0.0000
class	Erysipelotrichia	526524	35	2483	24	1774	1.3997	0.0000
class	Coriobacteriia	84998	32	1870	20	1497	1.2492	0.0000
class	Planctomycetia	203683	18	546	0	120	4.5500	0.0000
class	Chloroflexia	32061	12	380	0	61	6.2295	0.0000
class	Deinococci	188787	11	383	5	200	1.9150	0.0000
class	Acidimicrobiia	84992	7	214	0	147	1.4558	0.0000
class	Acidobacteriia	204432	5	152	0	118	1.2881	0.0000
class	Nitrospira	203693	5	311	6	306	1.0163	0.0000
class	Verrucomicrobiae	203494	4	318	7	254	1.2520	0.0000
class	Thermoleophilia	1497346	3	97	0	94	1.0319	0.0000
order	Micrococcales	85006	4423434	363736235	4703417	9382812	38.7662	0.4087
order	Corynebacteriales	85007	3208058	256073922	3376786	7420397	34.5095	0.2964
order	Actinomycetales	2037	1720292	107991203	1280897	8151704	13.2477	0.1589
order	Burkholderiales	80840	483424	32767429	559429	2589523	12.6538	0.0447
order	Neisseriales	206351	345995	23596875	348516	2018457	11.6906	0.0320
order	Flavobacteriales	200644	329092	24451532	403680	3783469	6.4627	0.0304
order	Lactobacillales	186826	140696	9291623	108731	3967863	2.3417	0.0130
order	Pasteurellales	135625	51181	3475374	43840	1544019	2.2509	0.0047
order	Propionibacteriales	85009	41061	2664786	58996	957556	2.7829	0.0038
order	Bacteroidales	171549	26779	2091638	34436	1224648	1.7080	0.0025
order	Cardiobacteriales	135615	16987	1122392	22835	456858	2.4568	0.0016
order	Campylobacterales	213849	16543	1129452	30949	735005	1.5367	0.0015
order	Veillonellales	1843489	7258	433128	5486	216701	1.9987	0.0007
order	Bacillales	1385	2248	140850	1435	93672	1.5037	0.0002
order	Fusobacteriales	203491	2050	117720	1467	81452	1.4453	0.0002
order	Clostridiales	186802	1772	123836	1565	81953	1.5111	0.0002
order	Selenomonadales	909929	1265	87249	964	70135	1.2440	0.0001
order	Sphingomonadales	204457	1108	66096	900	6712	9.8474	0.0001
order	Pseudomonadales	72274	790	42180	908	9063	4.6541	0.0001
order	Spirochaetales	136	614	43398	833	32019	1.3554	0.0001
order	Xanthomonadales	135614	266	9415	79	1369	6.8773	0.0000
order	Tissierellales	1737405	261	14681	133	10672	1.3757	0.0000
order	Rhodocyclales	206389	202	9691	71	5203	1.8626	0.0000
order	Alteromonadales	135622	184	10911	120	598	18.2458	0.0000
order	Oceanospirillales	135619	169	5571	24	487	11.4394	0.0000
order	Rhodobacterales	204455	161	6769	48	2988	2.2654	0.0000
order	Enterobacteriales	91347	154	7050	117	1209	5.8313	0.0000
order	Chromatiales	135613	111	3755	30	420	8.9405	0.0000
order	Rhodospirillales	204441	84	2701	15	344	7.8517	0.0000
order	Pseudonocardiales	85010	73	2572	9	456	5.6404	0.0000
order	Acidithiobacillales	225057	68	3292	174	94	35.0213	0.0000
order	Rhizobiales	356	64	2306	4	956	2.4121	0.0000
order	Sphingobacteriales	200666	63	1962	0	458	4.2838	0.0000
order	Micromonosporales	85008	53	1687	0	247	6.8300	0.0000
order	Cytophagales	768507	50	1631	5	500	3.2620	0.0000
order	Bifidobacteriales	85004	47	1733	6	699	2.4793	0.0000
order	Aeromonadales	135624	45	1984	71	149	13.3154	0.0000
order	Streptomycetales	85011	43	1303	0	355	3.6704	0.0000
order	Streptosporangiales	85012	40	1257	1	344	3.6541	0.0000
order	Chroococcales	1118	40	1231	2	217	5.6728	0.0000
order	Desulfuromonadales	69541	35	1143	0	61	18.7377	0.0000
order	Erysipelotrichales	526525	35	2483	24	1774	1.3997	0.0000
