LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
species	Pseudomonas sp. RIT357	1470593	6	197	1	100	1.9700	0.0000
species	Elizabethkingia meningoseptica	238	6	268	7	171	1.5673	0.0000
species	Chlamydia trachomatis	813	6	398	5	243	1.6379	0.0000
species	Clostridium sp. KNHs205	1449050	6	202	0	98	2.0612	0.0000
species	Collinsella sp. MS5	1499681	6	312	6	61	5.1148	0.0000
species	Streptococcus parauberis	1348	6	316	8	231	1.3680	0.0000
species	Bifidobacterium breve	1685	5	324	6	281	1.1530	0.0000
species	Gallibacterium anatis	750	5	192	1	148	1.2973	0.0000
species	Desulfobulbus mediterraneus	160661	5	204	6	87	2.3448	0.0000
species	Enterococcus faecalis	1351	5	185	0	157	1.1783	0.0000
species	Blautia producta	33035	5	170	0	63	2.6984	0.0000
species	Yersinia ruckeri	29486	5	169	2	106	1.5943	0.0000
species	Lachnospira multipara	28051	5	159	0	61	2.6066	0.0000
species	Mitsuokella jalaludinii	187979	5	223	3	180	1.2389	0.0000
species	Lachnospiraceae bacterium NK4A144	877421	5	227	6	85	2.6706	0.0000
species	Necropsobacter massiliensis	1400001	5	389	20	318	1.2233	0.0000
species	Chryseobacterium caeni	365343	5	236	9	93	2.5376	0.0000
species	Dickeya paradisiaca	69223	5	196	5	131	1.4962	0.0000
species	Mycoplasma ovipneumoniae	29562	5	300	13	118	2.5424	0.0000
species	Treponema phagedenis	162	5	193	5	114	1.6930	0.0000
species	Actinomyces sp. SD1	1673722	5	154	0	149	1.0336	0.0000
species	Eggerthella lenta	84112	5	333	18	328	1.0152	0.0000
species	Treponema sp. JC4	1124982	5	178	4	144	1.2361	0.0000
species	Ruminococcus bicirculans	1160721	5	399	8	302	1.3212	0.0000
species	Acidaminococcus fermentans	905	5	174	2	77	2.2597	0.0000
species	Yersinia rohdei	29485	5	322	10	127	2.5354	0.0000
species	Saccharicrinis fermentans	982	5	153	0	118	1.2966	0.0000
species	Photorhabdus luminescens	29488	5	158	0	91	1.7363	0.0000
species	Alistipes putredinis	28117	5	275	0	215	1.2791	0.0000
species	Streptococcus sp. CM6	936580	5	221	6	216	1.0231	0.0000
species	Propionibacterium acnes	1747	5	285	2	180	1.5833	0.0000
species	Yersinia enterocolitica	630	5	211	0	121	1.7438	0.0000
species	Enterococcus faecium	1352	5	187	1	182	1.0275	0.0000
species	Pseudomonas taetrolens	47884	5	260	13	218	1.1927	0.0000
species	Carnobacterium mobile	2750	5	323	3	278	1.1619	0.0000
species	Bacteroides uniformis	820	5	324	2	282	1.1489	0.0000
species	Streptococcus equinus	1335	5	223	3	218	1.0229	0.0000
species	Prevotella bryantii	77095	5	175	3	96	1.8229	0.0000
species	Kingella sp. Sch538	1522312	5	289	10	247	1.1700	0.0000
species	Prevotella sp. AGR2160	1280674	5	191	1	149	1.2819	0.0000
species	[Eubacterium] eligens	39485	5	380	6	269	1.4126	0.0000
species	Pseudomonas sp. Ag1	1197727	5	183	1	114	1.6053	0.0000
species	Streptococcus sp. CCH8-C6	1768777	5	337	1	237	1.4219	0.0000
species	Lactobacillus ruminis	1623	5	252	5	247	1.0202	0.0000
species	Streptococcus sp. oral taxon 056	712620	5	347	5	287	1.2091	0.0000
species	Erysipelotrichaceae bacterium 6_1_45	469614	5	278	5	187	1.4866	0.0000
species	Bergeyella zoohelcum	1015	4	162	4	127	1.2756	0.0000
species	Peptostreptococcaceae bacterium CM2	796939	4	305	5	221	1.3801	0.0000
species	[Clostridium] innocuum	1522	4	245	10	178	1.3764	0.0000
species	Streptococcus gallolyticus	315405	4	214	5	178	1.2022	0.0000
species	Pseudomonas sp. CFII64	911242	4	164	1	84	1.9524	0.0000
species	Moraxella catarrhalis	480	4	141	2	137	1.0292	0.0000
species	Anaerovibrio lipolyticus	82374	4	135	1	131	1.0305	0.0000
species	Bacteroides barnesiae	376804	4	174	7	121	1.4380	0.0000
species	Bacillus flexus	86664	4	228	3	224	1.0179	0.0000
species	Bacteroides faecis	674529	4	240	0	198	1.2121	0.0000
species	Avibacterium paragallinarum	728	4	142	2	109	1.3028	0.0000
species	Streptococcus intermedius	1338	4	155	0	113	1.3717	0.0000
species	[Clostridium] bolteae	208479	4	137	1	69	1.9855	0.0000
species	Lachnospiraceae bacterium JC7	1165092	4	126	0	62	2.0323	0.0000
species	Salinispira pacifica	1307761	4	126	0	68	1.8529	0.0000
